time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
38,28.000000000000043,28.000000000000053,28.000000000000025,27.999999999999979,28.000000000000021,28.000000000000043,28.000000000000121,28.000000000000163,28.000000000000135,28.000000000000114,28.000000000000131,28.000000000000128,28.00000000000011,28.000000000000053,27.999999999999964,27.999999999999911,27.999999999999886,27.999999999999925,27.999999999999968,27.999999999999975,27.999999999999975,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5500000000000003,2.5499999999999998,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.549999999999998,2.5499999999999958
39,28.000000000000043,28.000000000000053,28.000000000000021,27.999999999999982,28.000000000000021,28.000000000000046,28.000000000000117,28.00000000000016,28.000000000000131,28.000000000000114,28.000000000000128,28.000000000000128,28.00000000000011,28.00000000000006,27.999999999999964,27.999999999999918,27.99999999999989,27.999999999999936,27.999999999999961,27.999999999999968,27.999999999999954,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5500000000000003,2.5499999999999998,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.549999999999998,2.5499999999999958
40,28.000000000000043,28.000000000000053,28.000000000000025,27.999999999999979,28.000000000000021,28.000000000000043,28.000000000000121,28.000000000000163,28.000000000000139,28.000000000000114,28.000000000000131,28.000000000000128,28.000000000000114,28.000000000000068,27.999999999999972,27.999999999999911,27.999999999999897,27.999999999999918,27.999999999999968,27.999999999999961,27.999999999999954,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5499999999999994,2.5499999999999994,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999954
41,28.000000000000043,28.000000000000053,28.000000000000021,27.999999999999982,28.000000000000011,28.000000000000028,28.000000000000117,28.000000000000163,28.000000000000131,28.000000000000114,28.000000000000131,28.000000000000131,28.000000000000121,28.000000000000064,27.999999999999972,27.999999999999918,27.999999999999893,27.999999999999915,27.999999999999961,27.999999999999964,27.999999999999947,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5500000000000003,2.5499999999999994,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999949
42,28.000000000000043,28.000000000000053,28.000000000000025,27.999999999999975,28.000000000000007,28.000000000000032,28.000000000000121,28.00000000000016,28.000000000000131,28.000000000000114,28.000000000000135,28.000000000000135,28.000000000000121,28.00000000000006,27.999999999999964,27.999999999999911,27.99999999999989,27.999999999999911,27.999999999999954,27.999999999999954,27.999999999999964,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5500000000000003,2.5499999999999989,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999949
43,28.000000000000043,28.000000000000053,28.000000000000021,27.999999999999979,28.000000000000007,28.000000000000043,28.000000000000117,28.00000000000016,28.000000000000131,28.000000000000114,28.000000000000131,28.000000000000135,28.000000000000121,28.000000000000068,27.999999999999972,27.999999999999918,27.99999999999989,27.999999999999925,27.999999999999943,27.99999999999995,27.999999999999954,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5499999999999998,2.5499999999999994,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999949
44,28.000000000000043,28.000000000000053,28.000000000000025,27.999999999999972,28.000000000000018,28.000000000000039,28.000000000000121,28.00000000000016,28.000000000000139,28.000000000000114,28.000000000000128,28.000000000000139,28.000000000000121,28.000000000000071,27.999999999999972,27.999999999999911,27.999999999999893,27.999999999999925,27.99999999999995,27.999999999999957,27.999999999999957,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5500000000000007,2.5499999999999989,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999949
45,28.000000000000043,28.000000000000053,28.000000000000018,27.999999999999979,28.000000000000014,28.000000000000043,28.000000000000117,28.00000000000016,28.000000000000139,28.000000000000114,28.000000000000131,28.000000000000139,28.000000000000128,28.000000000000064,27.999999999999975,27.999999999999918,27.99999999999989,27.999999999999911,27.99999999999995,27.999999999999957,27.999999999999957,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5500000000000007,2.5499999999999994,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999949
46,28.000000000000043,28.000000000000053,28.000000000000025,27.999999999999975,28.000000000000021,28.000000000000046,28.000000000000121,28.000000000000163,28.000000000000139,28.000000000000114,28.000000000000128,28.000000000000135,28.000000000000124,28.00000000000006,27.999999999999972,27.999999999999911,27.999999999999893,27.999999999999904,27.999999999999957,27.999999999999968,27.999999999999964,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5500000000000003,2.5499999999999989,2.5500000000000038,2.5500000000000016,2.5499999999999998,2.5499999999999985,2.5499999999999949
47,28.000000000000043,28.000000000000053,28.000000000000021,27.999999999999986,28.000000000000018,28.000000000000043,28.000000000000117,28.00000000000016,28.000000000000139,28.000000000000114,28.000000000000131,28.000000000000139,28.000000000000124,28.000000000000064,27.999999999999975,27.999999999999915,27.999999999999886,27.999999999999918,27.999999999999954,27.999999999999964,27.999999999999972,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5500000000000007,2.5499999999999994,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999949
48,28.000000000000043,28.000000000000053,28.000000000000025,27.999999999999979,28.000000000000018,28.000000000000046,28.000000000000121,28.000000000000163,28.000000000000139,28.000000000000114,28.000000000000128,28.000000000000135,28.000000000000121,28.000000000000078,27.999999999999972,27.999999999999911,27.999999999999893,27.999999999999925,27.999999999999957,27.999999999999968,27.999999999999972,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5500000000000003,2.5499999999999994,2.5500000000000038,2.5500000000000007,2.5499999999999998,2.5499999999999985,2.5499999999999949
49,28.000000000000043,28.000000000000053,28.000000000000021,27.999999999999979,28.000000000000014,28.000000000000043,28.000000000000117,28.000000000000163,28.000000000000139,28.000000000000114,28.000000000000131,28.000000000000139,28.000000000000131,28.000000000000068,27.999999999999979,27.999999999999911,27.99999999999989,27.999999999999908,27.999999999999954,27.999999999999968,27.999999999999972,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5500000000000007,2.5499999999999998,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999954
50,28.000000000000043,28.000000000000053,28.000000000000025,27.999999999999979,28.000000000000014,28.000000000000046,28.000000000000121,28.000000000000167,28.000000000000142,28.000000000000114,28.000000000000128,28.000000000000139,28.000000000000131,28.00000000000006,27.999999999999972,27.999999999999915,27.99999999999989,27.999999999999911,27.999999999999964,27.999999999999964,27.999999999999964,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999985,2.5500000000000003,2.5500000000000003,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999958
51,28.000000000000043,28.000000000000053,28.000000000000021,27.999999999999979,28.000000000000018,28.000000000000043,28.000000000000117,28.000000000000171,28.000000000000146,28.000000000000114,28.000000000000131,28.000000000000139,28.000000000000128,28.000000000000057,27.999999999999979,27.999999999999915,27.99999999999989,27.999999999999925,27.999999999999961,27.999999999999972,27.999999999999964,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5499999999999998,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999954
52,28.000000000000043,28.000000000000053,28.000000000000025,27.999999999999982,28.000000000000018,28.000000000000046,28.000000000000121,28.000000000000171,28.000000000000149,28.000000000000114,28.000000000000128,28.000000000000139,28.000000000000114,28.000000000000046,27.999999999999968,27.999999999999908,27.999999999999893,27.999999999999925,27.999999999999954,27.999999999999968,27.999999999999972,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999985,2.5500000000000003,2.5499999999999998,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999985,2.5499999999999949
53,28.000000000000043,28.000000000000053,28.000000000000021,27.999999999999986,28.000000000000025,28.000000000000043,28.000000000000117,28.000000000000171,28.000000000000142,28.000000000000114,28.000000000000131,28.000000000000131,28.00000000000011,28.000000000000046,27.999999999999968,27.999999999999911,27.99999999999989,27.999999999999911,27.999999999999947,27.999999999999972,27.999999999999972,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.549999999999998,2.5500000000000003,2.5500000000000003,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.549999999999998,2.5499999999999954
54,28.000000000000043,28.000000000000053,28.000000000000025,27.999999999999986,28.000000000000025,28.000000000000046,28.000000000000121,28.000000000000171,28.000000000000142,28.000000000000114,28.000000000000128,28.000000000000135,28.00000000000011,28.000000000000046,27.999999999999964,27.999999999999915,27.999999999999886,27.999999999999911,27.999999999999954,27.999999999999972,27.999999999999972,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5499999999999998,2.5500000000000003,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.549999999999998,2.5499999999999958
55,28.000000000000043,28.000000000000053,28.000000000000021,27.999999999999986,28.000000000000021,28.000000000000028,28.000000000000117,28.000000000000167,28.000000000000135,28.000000000000114,28.000000000000131,28.000000000000131,28.000000000000099,28.000000000000043,27.999999999999968,27.999999999999915,27.99999999999989,27.999999999999918,27.999999999999954,27.999999999999961,27.999999999999957,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5499999999999998,2.5499999999999994,2.5500000000000038,2.5500000000000012,2.5499999999999998,2.5499999999999976,2.5499999999999958
56,28.000000000000043,28.000000000000053,28.000000000000028,27.999999999999986,28.000000000000014,28.000000000000032,28.000000000000121,28.000000000000163,28.000000000000135,28.000000000000114,28.000000000000128,28.000000000000135,28.000000000000103,28.000000000000053,27.999999999999961,27.999999999999908,27.99999999999989,27.999999999999922,27.999999999999957,27.99999999999995,27.999999999999972,2.5500000000000029,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5500000000000043,2.5499999999999972,2.5499999999999989,2.5500000000000016,2.5500000000000003,2.5499999999999976,2.5499999999999994,2.5499999999999994,2.5500000000000038,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5499999999999954
